GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2014;01001;Flensburg, kreisfreie Stadt;1087;1114;1443;1757;1182;986;3768;3726;2931;2456;2426;3418;3160;2636;2337;4004;3373;1149;811;979;1685;1169;1047;4055;3171;2676;2149;2400;3228;3064;2673;2537;4747;5350
31.12.2014;01002;Kiel, kreisfreie Stadt;3284;3109;3822;4661;2902;2308;10655;12174;9520;8043;7650;9047;8345;7230;6088;10962;8112;3172;2640;3437;4499;2866;2589;11992;11952;9897;7243;7199;9052;8902;7562;6679;12106;13449
31.12.2014;01003;Lübeck, kreisfreie Stadt;2802;2653;3631;4266;2808;2096;6553;7442;7363;5991;6692;8341;8201;6911;5991;11326;9497;2595;2331;3178;4537;2912;2155;6937;7434;6768;6251;6663;8865;8630;7173;6520;13271;15636
31.12.2014;01004;Neumünster, kreisfreie Stadt;954;1019;1395;1892;1285;875;2358;2472;2260;2154;2373;3289;3110;2666;2281;4177;3401;944;891;1310;1842;1350;806;2265;2203;2097;2023;2424;3163;3171;2649;2466;4624;5399
31.12.2014;01051;Dithmarschen, Landkreis;1545;1637;2250;3385;2365;1693;3678;3338;3226;3288;4160;5601;5583;4743;4444;7820;6398;1448;1556;2180;3258;2410;1602;3312;3067;3177;3235;3994;5701;5638;4909;4563;8266;9215
31.12.2014;01053;Herzogtum Lauenburg, Landkreis;2505;2482;3533;5147;3387;2065;4870;4663;4903;5100;6131;8790;8544;6833;5679;9988;8654;2331;2296;3493;4778;3086;1911;4209;4440;5193;5679;6533;8751;8570;6941;5716;10981;12521
31.12.2014;01054;Nordfriesland, Landkreis;1865;1851;2813;4148;2906;2046;4723;4399;4175;3936;4802;6900;6803;5653;5221;9403;7462;1753;1662;2591;4135;2850;1911;3954;3934;4038;4150;5090;7184;7220;6125;5460;10212;10828
31.12.2014;01055;Ostholstein, Landkreis;2074;2175;3081;4631;3173;2144;4777;4240;4392;4677;5908;8405;8393;7205;6873;12974;10536;1864;2137;2900;4453;2940;1972;4002;4068;4853;5089;6337;8854;8903;7719;7350;14095;15161
31.12.2014;01056;Pinneberg, Landkreis;3992;3966;5626;7784;5080;3374;8151;7779;8078;8455;10015;14301;13458;10474;8563;15968;13459;3824;3833;5401;7253;4670;3024;7071;7491;8805;9215;10426;13944;13198;10736;9189;18260;19224
