"","district.ID","numb.ini","district.name","males","females","total","males.per","females.per","gender.ratio","young","medium","old","young.per","medium.per","abitur.per","nodegree.per","unemployment","GDP.cap","pop.dens","refugees","east","refugee.ratio"
"1",1001,1,"Flensburg, kreisfreie Stadt",41804,42890,84694,0.493588683968168,0.506411316031832,0.974679412450455,29129,36388,22348,0.343932273832857,0.429640824615675,42.5,7.6,10.5,35063,1479.9,242,0,0.00285734526648877
"2",1002,5,"Kiel, kreisfreie Stadt",117912,125236,243148,0.484939213976673,0.515060786023327,0.941518413235811,86062,111642,57396,0.353949035155543,0.459152450359452,41.4,7.7,10.1,37110,2035.7,736,0,0.00302696300195766
"3",1003,0,"Lübeck, kreisfreie Stadt",102564,111856,214420,0.478332245126387,0.521667754873612,0.916928908596767,64330,95283,62241,0.300018654976215,0.444375524671206,30.7,8.6,10.1,34239,994.2,591,0,0.00275627273575226
"4",1004,2,"Neumünster, kreisfreie Stadt",37961,39627,77588,0.489263803680982,0.510736196319018,0.957957957957958,23861,33582,22348,0.307534670309842,0.432824663607774,36.7,8.8,10.9,33184,1075.8,420,0,0.00541320822807651
"5",1051,0,"Dithmarschen, Landkreis",65154,67531,132685,0.491042695104948,0.508957304895052,0.964801350490886,38724,56322,40706,0.291849116328146,0.424479029279873,22.9,8.6,7.4,26848,92.9,396,0,0.00298451219052643
"6",1053,0,"Herzogtum Lauenburg, Landkreis",93274,97429,190703,0.489106096915098,0.510893903084902,0.957353560028328,55196,86408,53539,0.289434356040545,0.453102468235948,28,8.6,6,20048,149.7,453,0,0.0023754214668883
"7",1054,0,"Nordfriesland, Landkreis",79106,83097,162203,0.487697514842512,0.512302485157488,0.951971792002118,47541,70010,48586,0.29309568873572,0.431619637121385,22.3,7.2,6.4,30459,77.7,424,0,0.00261400837222493
"8",1055,1,"Ostholstein, Landkreis",95658,102697,198355,0.482256560207708,0.517743439792292,0.931458562567553,50631,84803,66989,0.255254467999294,0.427531446144539,26.8,8.7,6.4,21057,142.1,506,0,0.00255098182551486
"9",1057,0,"Plön, Landkreis",61421,65444,126865,0.484144563118275,0.515855436881725,0.938527596112707,34002,54846,40501,0.268017183620384,0.432317818153155,23.1,8.1,5.7,16897,116.9,279,0,0.00219918811334884
"10",1058,0,"Rendsburg-Eckernförde, Landkreis",131768,136860,268628,0.490522209151689,0.509477790848311,0.962794096156656,77480,118579,78356,0.288428607591167,0.441424572270947,26.5,8.1,5.5,25280,122.6,699,0,0.00260211147013714
"11",1059,1,"Schleswig-Flensburg, Landkreis",96600,98993,195593,0.493882705413793,0.506117294586207,0.975826573596113,57142,84921,57860,0.292147469490217,0.434171979569821,23.9,8.5,7.3,22157,94.2,489,0,0.0025000894715046
"12",1060,1,"Segeberg, Landkreis",130289,134683,264972,0.491708557885361,0.508291442114639,0.967375244091682,76725,121903,72925,0.289558896789095,0.460059930860619,28.7,7.2,5,25941,195.8,580,0,0.00218891052639524
"13",1061,1,"Steinburg, Landkreis",64120,66098,130218,0.492405043849545,0.507594956150455,0.970074737510969,37765,58328,37083,0.290013669385185,0.447925785989648,26.9,7,6.3,28513,123.1,372,0,0.00285674791503479
"14",1062,0,"Stormarn, Landkreis",115259,121446,236705,0.486930990050907,0.513069009949093,0.949055547321443,66658,107330,67960,0.281607908578188,0.453433598783296,45.3,4.4,4,28806,306.2,479,0,0.0020236158932004
"15",2000,9,"Hamburg, kreisfreie Stadt",857283,905508,1762791,0.486321407359125,0.513678592640875,0.946742601942777,560808,856440,420044,0.318136409818294,0.48584318844378,NA,NA,NA,NA,NA,NA,0,NA
"16",3101,1,"Braunschweig, kreisfreie Stadt",122318,126184,248502,0.492221390572309,0.507778609427691,0.96936220122995,79948,114010,64791,0.321719744710304,0.458789064071919,46.3,5.9,6.8,37604,1286.5,291,0,0.0011710167322597
"17",3102,0,"Salzgitter, kreisfreie Stadt",48518,50448,98966,0.490249176484853,0.509750823515147,0.96174278464954,29241,42120,30058,0.295465109229432,0.425600711355415,20.5,3.3,9.4,43440,438.5,278,0,0.00280904553078835
"18",3103,0,"Wolfsburg, kreisfreie Stadt",60794,62233,123027,0.49415169027937,0.50584830972063,0.976877219481625,37091,55240,34936,0.301486665528705,0.449007128516504,38.1,4,4.8,105059,600.1,435,0,0.00353580921261187
"19",3151,0,"Gifhorn, Landkreis",85999,86542,172541,0.498426460957106,0.501573539042894,0.993725589886991,53372,79874,43709,0.309329376785807,0.46292765197837,25.8,4.7,4.9,16378,109.7,468,0,0.00271239879217114
"20",3152,4,"Göttingen, Landkreis",122407,127813,250220,0.489197506194549,0.510802493805451,0.957703832943441,82938,111209,65753,0.331460314922868,0.444444888498122,41.6,4.3,6.3,30635,222.2,1205,0,0.00481576212932619
"21",3153,0,"Goslar, Landkreis",67398,69858,137256,0.491038643119426,0.508961356880574,0.96478570815082,36302,57618,46612,0.264483884128927,0.419784927434866,27.3,5.8,8.6,24938,142.8,380,0,0.00276854928017719
"22",3154,2,"Helmstedt, Landkreis",44967,45941,90908,0.494642935715229,0.505357064284771,0.978798894233909,24816,40982,27355,0.272979275751309,0.450807409688916,31.4,6,7.2,19007,134.2,290,0,0.00319003828045937
"23",3155,0,"Northeim, Landkreis",65576,68329,133905,0.489720324110377,0.510279675889623,0.95970964012352,35946,58653,42340,0.268444046152123,0.438019491430492,33.5,4.3,6.9,24229,106.3,542,0,0.00404764571897987
"24",3156,0,"Osterode am Harz, Landkreis",36014,37779,73793,0.488040871085333,0.511959128914667,0.953280923264247,18241,30864,26105,0.247191468025422,0.418251053622972,24.3,3.8,7.6,29256,116.9,266,0,0.00360467795048311
"25",3157,0,"Peine, Landkreis",64311,66290,130601,0.492423488334699,0.507576511665301,0.970146326746116,38616,59047,35906,0.295679206131653,0.452117518242586,31.5,4.2,6.1,19893,243.3,516,0,0.00395096515340618
"26",3158,0,"Wolfenbüttel, Landkreis",59118,60917,120035,0.492506352313908,0.507493647686092,0.970468013854917,33961,53267,35501,0.282925813304453,0.443762236014496,30.6,4,6,17446,165.9,385,0,0.003207397842296
"27",3241,11,"Region Hannover, Landkreis",548485,579552,1128037,0.486229618354717,0.513770381645283,0.94639480150185,345134,517345,302858,0.305959822239873,0.458624140874812,38.9,4.9,8.2,38453,488.7,3481,0,0.00308589168617696
"28",3251,1,"Diepholz, Landkreis",104727,106366,211093,0.496117824844974,0.503882175155026,0.984590940714138,61155,95176,59695,0.289706432709754,0.45087236431336,28,3.5,4.6,24940,105.6,641,0,0.0030365762957559
"29",3252,1,"Hameln-Pyrmont, Landkreis",71071,76742,147813,0.480816978208953,0.519183021791047,0.92610304657163,40750,63888,46810,0.275686171040436,0.432221793752918,28.7,7.1,7.9,30169,185.6,417,0,0.00282113210610704
"30",3254,3,"Hildesheim, Landkreis",132995,141559,274554,0.484403796703017,0.515596203296984,0.939502257009445,80889,120982,80090,0.294619637666907,0.440649198336211,34.4,5.7,7.4,23963,227.6,892,0,0.00324890549764345
"31",3255,0,"Holzminden, Landkreis",35179,36259,71438,0.492440997788292,0.507559002211708,0.970214291624149,19960,29974,23144,0.27940311878832,0.419580615358773,18.9,7.2,7.7,26387,103.8,171,0,0.00239368403370755
"32",1056,1,"Pinneberg, Landkreis",148523,155564,304087,0.488422721129151,0.511577278870849,0.954738885603353,88319,138596,84663,0.290439907000299,0.455777458424727,35,6.5,5.4,24753,453.5,875,0,0.00287746598835202
"33",3256,0,"Nienburg (Weser), Landkreis",59175,60456,119631,0.494646036562429,0.505353963437571,0.978811036125447,35427,53349,33705,0.296135617022344,0.445946284825839,25.8,5,6.1,24868,85.7,255,0,0.0021315545301803
